Device,OpenMP,Kokkos,CUDA,HIP,Chapel
Skylake,457,444,X,X,488
Cascade Lake,2491,2538,X,X,1032
Sapphire Rapids,6710,7009,X,X,1884
Rome,3484,3471,X,X,3026
Milan,2687,2652,X,X,2771
ThunderX2,427,432,X,X,305
POWER9,33,33,X,X,501
P100,1798,2692,2729,X,2725
V100,4018,5720,5772,X,5735
A100,3639,4537,5087,X,5360
MI60,4436,3554,X,3739,3610
MI100,4288,3554,X,3761,4739
MI250X,4254,3707,X,3258,4941
