Device,OpenMP,Kokkos,CUDA,HIP,Chapel
Skylake,118,118,X,X,118
Cascade Lake,170,169,X,X,169
Sapphire Rapids,490,486,X,X,482
Rome,220,219,X,X,218
Milan,198,197,X,X,195
ThunderX2,207,208,X,X,200
POWER9,234,234,X,X,204
P100,388,419,419,X,411
V100,760,827,823,X,809
A100,1544,1679,1685,X,1635
MI60,814,803,X,815,782
MI100,1016,1017,X,1012,987
