Device,OpenMP,Kokkos,CUDA,HIP,Chapel
Skylake,24.1,23.5,X,X,25.7
Cascade Lake,40.5,41.3,X,X,16.8
Sapphire Rapids,53.1,55.4,X,X,14.9
Rome,56.7,56.5,X,X,49.2
Milan,72.6,71.7,X,X,74.9
ThunderX2,43.3,43.8,X,X,31.0
POWER9,2.8,2.8,X,X,42.5
P100,37.8,56.5,57.3,X,57.2
V100,51.3,73.0,73.7,X,73.2
A100,37.3,46.5,52.2,X,55.0
MI60,60.2,48.2,X,50.7,49.0
MI100,37.2,30.8,X,32.6,41.1
MI250X,17.8,15.4,X,13.6,20.8
