Device,OpenMP,Kokkos,CUDA,HIP,Chapel,Chapel 2D
Skylake,491,720,X,X,466,464
Cascade Lake,316,471,X,X,323,324
Sapphire Rapids,95,239,X,X,118,116
Rome,149,530,X,X,165,166
Milan,246,770,X,X,269,265
ThunderX2,413,864,X,X,428,432
POWER9,743,4781,X,X,362,361
P100,281,247,177,X,2062,4133
V100,149,129,96,X,581,3607
A100,131,69,50,X,302,3430
MI60,164,115,X,251,297,4911
MI100,148,111,X,243,231,2310
